number,value,datetime_start,datetime_complete,duration,params_V10,params_V11,params_V12,params_V15,params_V18,params_V3,params_V6,params_V9,system_attrs_fixed_params,state
225,0.0,2026-06-30 12:37:25.878149,2026-06-30 12:37:29.162116,0 days 00:00:03.283967,841.7959662442565,-484.1240329652327,372.5123539637681,-744.7653618185553,-824.1171063999917,-135.61784748545892,-833.7249207643619,-90.01340533318651,,COMPLETE
226,0.0,2026-06-30 12:37:29.178492,2026-06-30 12:37:32.743680,0 days 00:00:03.565188,926.3999555714769,-405.5489356359035,574.8544881344296,-838.6826675270819,-670.7628686729124,-171.6675765341131,-933.2443268269933,68.17741532137396,,COMPLETE
227,0.0,2026-06-30 12:37:32.766671,2026-06-30 12:37:36.128209,0 days 00:00:03.361538,768.1976375153231,-447.14033111336846,514.674603104008,-770.9203898965567,-872.7108817093904,-97.41366199931576,-968.0015486521171,-45.584986630069,,COMPLETE
228,0.0,2026-06-30 12:37:36.140421,2026-06-30 12:37:40.212618,0 days 00:00:04.072197,819.85096351814,-518.7325089620672,417.4592469997343,-679.9334383476784,-763.1146825443037,-334.74774644961076,-763.8785836240522,-1.899145664824898,,COMPLETE
229,0.0,2026-06-30 12:37:40.233209,2026-06-30 12:37:43.561931,0 days 00:00:03.328722,963.0115213950571,-489.9942377496033,490.50062510183045,-878.3035552781383,-793.4823603478615,-378.9615161799,-854.1088638729011,36.79304622156673,,COMPLETE
230,0.0,2026-06-30 12:37:43.575532,2026-06-30 12:37:47.029714,0 days 00:00:03.454182,883.2267920175285,-383.581488061974,533.1583680348377,-808.040329461313,-625.7297904866062,-214.71472548314446,-920.9273447306704,102.38757174070766,,COMPLETE
231,0.0,2026-06-30 12:37:47.055477,2026-06-30 12:37:50.456826,0 days 00:00:03.401349,890.5404545359055,-576.8660216601753,452.90777723100786,-773.5675835652945,-729.054009801732,-287.13282875243806,-878.8552502038482,9.390406615992347,,COMPLETE
232,0.0,2026-06-30 12:37:50.469414,2026-06-30 12:37:53.839788,0 days 00:00:03.370374,841.6983107401296,-456.58907593829815,465.4581231912409,-729.3839065246706,-719.584200173124,-250.36111007676658,-904.7236700115362,-23.63037784292951,,COMPLETE
233,0.0,2026-06-30 12:37:53.851976,2026-06-30 12:37:57.321589,0 days 00:00:03.469613,915.8209320591061,-539.6347986732518,391.47349543077365,-821.0649360012085,-698.9967511832331,-210.93594012683138,-970.0794222175563,-71.37725711431754,,COMPLETE
234,0.0,2026-06-30 12:37:57.346466,2026-06-30 12:38:01.597631,0 days 00:00:04.251165,866.3624110895964,-501.433471906933,430.4473153134347,-789.9227004166435,-747.1032642747471,-277.1808993186219,-809.6374739008904,40.62421435187362,,COMPLETE
235,0.0,2026-06-30 12:38:01.629934,2026-06-30 12:38:05.366683,0 days 00:00:03.736749,912.4363750710734,-431.4410485766321,486.3196125194762,-690.0156586475368,-815.7583180032417,-167.98156185298132,-997.9056974037155,-130.2357721867292,,COMPLETE
236,0.0,2026-06-30 12:38:05.385612,2026-06-30 12:38:10.391446,0 days 00:00:05.005834,806.8292070435123,-476.7007419054853,427.95813333282575,-745.5412363068265,-661.8249585156211,-312.99462907045154,-931.9994272045558,0.6055501736042501,,COMPLETE
237,30.0,2026-06-30 12:38:07.691154,2026-06-30 12:38:12.794639,0 days 00:00:05.103485,48.47,122.0,-491.87,-872.14,186.12,-533.92,-861.2,621.11,"{'V3': -533.92, 'V6': -861.2, 'V9': 621.11, 'V10': 48.47, 'V11': 122.0, 'V12': -491.87, 'V15': -872.14, 'V18': 186.12}",COMPLETE
238,0.0,2026-06-30 12:38:10.407903,2026-06-30 12:38:14.907310,0 days 00:00:04.499407,848.6932651204675,-542.1699566428754,333.63794438303387,-850.1866070223077,-777.2855717286831,-232.67056435599676,-874.0940492136556,-44.8216820942841,,COMPLETE
239,0.0,2026-06-30 12:38:12.825025,2026-06-30 12:38:17.757477,0 days 00:00:04.932452,961.4186156389185,-424.59453578502956,346.2837981806277,-883.1047111181548,-782.2962249265902,-223.95230035740124,-860.8515837024418,648.3199846565744,,COMPLETE
240,0.0,2026-06-30 12:38:14.939779,2026-06-30 12:38:20.132617,0 days 00:00:05.192838,960.1658058496287,-411.98670211418033,588.1133760699561,-890.6801561143008,-693.2071963727332,-204.5366397650257,-842.0488798606772,60.683913989849955,,COMPLETE
241,0.0,2026-06-30 12:38:17.778193,2026-06-30 12:38:22.462083,0 days 00:00:04.683890,741.6921300531056,-506.4246009389404,620.9850389478281,-639.375187892113,-692.2088271341512,-180.05526639355043,-951.532064418287,700.0151394384848,,COMPLETE
242,0.0,2026-06-30 12:38:20.162702,2026-06-30 12:38:25.261831,0 days 00:00:05.099129,884.6298102953263,-502.5960663505199,460.51847528209044,-792.301293128863,-733.3303230472578,-278.89921330783983,-912.5024761519705,19.093909813173696,,COMPLETE
243,0.0,2026-06-30 12:38:22.489368,2026-06-30 12:38:27.591443,0 days 00:00:05.102075,887.8465017772388,-476.4901317224897,466.0634979018042,-788.7700708101949,-734.3286920801247,-279.9869573843444,-906.4018498408391,12.98805798136923,,COMPLETE
244,0.0,2026-06-30 12:38:25.300184,2026-06-30 12:38:29.789328,0 days 00:00:04.489144,902.6884974983313,-459.0312456012982,517.789561661291,-718.0463911832937,-742.5372898512691,-254.8108315256204,-894.0805657918247,-21.04449574538886,,COMPLETE
245,0.0,2026-06-30 12:38:27.605259,2026-06-30 12:38:32.393947,0 days 00:00:04.788688,827.8015567790652,-586.4014210609627,514.2525887273276,-727.900436837684,-835.3163791042412,-248.04431716967474,-959.2816881552108,-41.418231879917045,,COMPLETE
246,0.0,2026-06-30 12:38:29.809804,2026-06-30 12:38:34.571010,0 days 00:00:04.761206,844.0662668136964,-600.0412136553865,-496.6774605839972,-824.5632427116609,-825.2142772467064,-129.01365631011353,-966.310688581636,-82.81458993602136,,COMPLETE
247,0.0,2026-06-30 12:38:32.415011,2026-06-30 12:38:36.867400,0 days 00:00:04.452389,790.3377096659082,-539.7772524381372,400.0923963873273,-828.3951401915061,-664.4884972448656,-342.90179307780403,-807.8393191334046,-88.71107487995705,,COMPLETE
248,0.0,2026-06-30 12:38:34.585186,2026-06-30 12:38:38.903468,0 days 00:00:04.318282,794.6856156848492,-546.9150678231778,402.0623940390874,-758.6005649841417,-637.7174614595333,-327.5866497308326,-808.8800706368705,65.23257060082598,,COMPLETE
249,0.0,2026-06-30 12:38:36.885723,2026-06-30 12:38:41.606541,0 days 00:00:04.720818,926.324420527814,-456.55212457268465,387.2803547969422,-747.4321444670286,-710.330288503106,-304.4529491979539,-930.0770741226804,86.67272963532838,,COMPLETE
250,0.0,2026-06-30 12:38:38.924631,2026-06-30 12:38:43.501361,0 days 00:00:04.576730,935.5650742589412,-662.5536800602085,437.1079492055625,-683.6154415012517,-772.1351047533436,-195.48993265082436,-999.8123351026371,-13.298275063907475,,COMPLETE
251,0.0,2026-06-30 12:38:41.618894,2026-06-30 12:38:45.939929,0 days 00:00:04.321035,861.3210975394362,-646.4275903919256,435.75558618409343,-672.4060674256491,-775.1903660605731,-181.09364934577346,-999.859996023829,-22.959151130637952,,COMPLETE
252,0.0,2026-06-30 12:38:43.515134,2026-06-30 12:38:48.193714,0 days 00:00:04.678580,850.6458680328155,-497.7896720595007,562.3090135488249,-769.2664300136032,-764.6230477181475,-153.06673746414526,-881.1839828082415,29.923266336363596,,COMPLETE
253,0.0,2026-06-30 12:38:45.958044,2026-06-30 12:38:50.751093,0 days 00:00:04.793049,870.3665269522122,-355.245935244604,487.5911179975477,-918.0986391892055,-730.1936534401368,-236.59729677045004,-869.4477214566433,29.972130138330588,,COMPLETE
254,0.0,2026-06-30 12:38:48.217430,2026-06-30 12:38:52.735645,0 days 00:00:04.518215,904.5351655297675,-382.2475531142617,492.9407534338939,-914.3418513500644,-706.2731106242974,-237.8711041705182,-927.8695829111634,-61.6845081573631,,COMPLETE
255,0.0,2026-06-30 12:38:50.765879,2026-06-30 12:38:55.512007,0 days 00:00:04.746128,906.9758800880912,-427.1377509889922,483.64557707353947,-836.5244128832231,-689.428827709036,-284.6111621808887,-931.5418859892694,-50.85789058438601,,COMPLETE
256,0.0,2026-06-30 12:38:52.763423,2026-06-30 12:38:57.719179,0 days 00:00:04.955756,825.1234064550488,-449.7083403843768,469.47809837804766,-710.0657529712836,-673.3830143575672,-291.34992095083635,-773.2236842788827,-117.86049035294883,,COMPLETE
257,0.0,2026-06-30 12:38:55.531731,2026-06-30 12:39:00.164196,0 days 00:00:04.632465,751.5241330364261,-517.6453340138318,368.01617868603705,-710.4986636666856,-804.7055344175171,-213.49913655103848,-842.9903388744109,164.48845975568364,,COMPLETE
258,0.0,2026-06-30 12:38:57.733687,2026-06-30 12:39:06.118450,0 days 00:00:08.384763,771.4856296513967,-519.9994325913149,377.92180313208166,-799.5154596124295,-802.2221802936637,-201.58580124115724,-893.6313143157644,100.36459816938773,,COMPLETE
259,0.0,2026-06-30 12:39:00.182679,2026-06-30 12:39:09.241460,0 days 00:00:09.058781,954.5598361738237,-565.411618768639,522.8337796076873,-790.5746698000913,-738.7107567259083,-252.71912155895728,-958.1683032920024,-1.9011020001016758,,COMPLETE
